Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
350.8563,0.04296875,0.9345703,0.1894531,-84.4375,0.90625,-33.40625,0,0,0,0,0,0,162.0473,162.0473
350.8924,0.04296875,0.9345703,0.1894531,-84.4375,0.90625,-33.40625,0,0,0,0,0,0,162.0473,162.0473
350.9274,0.1201172,1.022461,0.1816406,-89.125,-18.3125,-25.40625,0,0,0,0,0,0,156.8873,156.8873
350.9571,0.1201172,1.022461,0.1816406,-89.125,-18.3125,-25.40625,0,0,0,0,0,0,156.8873,156.8873
350.9907,-0.1191406,0.7910156,0.2949219,-70.15625,16.71875,-13.875,0,0,0,0,0,0,142.7751,142.7751
351.0238,-0.1191406,0.7910156,0.2949219,-70.15625,16.71875,-13.875,0,0,0,0,0,0,142.7751,142.7751
351.0574,-0.1855469,0.7685547,0.5390625,-61.28125,-27.53125,-0.25,0,0,0,0,0,0,130.2386,130.2386
351.0911,-0.1855469,0.7685547,0.5390625,-61.28125,-27.53125,-0.25,0,0,0,0,0,0,130.2386,130.2386
351.1242,-0.1855469,0.7685547,0.5390625,-61.28125,-27.53125,-0.25,0,0,0,0,0,0,126.1056,126.1056
351.1581,0.1337891,0.7978516,0.546875,-56.65625,-24.75,6.40625,0,0,0,0,0,0,126.1056,126.1056
351.1915,0.1337891,0.7978516,0.546875,-56.65625,-24.75,6.40625,0,0,0,0,0,0,115.6325,115.6325
351.2247,0.01757813,0.7490234,0.6484375,-44.875,4.125,3.9375,0,0,0,0,0,0,115.6325,115.6325
351.2584,0.01757813,0.7490234,0.6484375,-44.875,4.125,3.9375,0,0,0,0,0,0,107.2086,107.2086
351.2917,-0.1201172,0.640625,0.7177734,-28.15625,21.96875,10.53125,0,0,0,0,0,0,107.2086,107.2086
351.3249,-0.1201172,0.640625,0.7177734,-28.15625,21.96875,10.53125,0,0,0,0,0,0,100.7358,100.7358
351.3584,0.1308594,0.7519531,0.6923828,-43.46875,10.90625,27.4375,0,0,0,0,0,0,100.7358,100.7358
351.3924,0.1308594,0.7519531,0.6923828,-43.46875,10.90625,27.4375,0,0,0,0,0,0,100.7358,100.7358
351.4257,0.0625,0.484375,0.6904297,-58.375,10.90625,11.71875,0,0,0,0,0,0,94.27993,94.27994
351.4592,0.0625,0.484375,0.6904297,-58.375,10.90625,11.71875,0,0,0,0,0,0,94.27993,94.27993
351.4933,-0.21875,0.4433594,0.7402344,-75.6875,-6.53125,11.40625,0,0,0,0,0,0,89.59216,89.59216
351.5262,-0.21875,0.4433594,0.7402344,-75.6875,-6.53125,11.40625,0,0,0,0,0,0,89.59216,89.59216
351.5598,-0.05078125,0.3925781,0.796875,-62.9375,-0.125,5.34375,0,0,0,0,0,0,78.00658,78.00658
351.5941,-0.05078125,0.3925781,0.796875,-62.9375,-0.125,5.34375,0,0,0,0,0,0,78.00658,78.00658
351.6269,-0.05078125,0.3925781,0.796875,-62.9375,-0.125,5.34375,0,0,0,0,0,0,71.7263,71.7263
351.6602,-0.03613281,0.4912109,0.8027344,-62.15625,7.375,0.34375,0,0,0,0,0,0,71.7263,71.7263
351.6941,-0.03613281,0.4912109,0.8027344,-62.15625,7.375,0.34375,0,0,0,0,0,0,63.68006,63.6801
351.7269,-0.2480469,0.3212891,0.953125,-72.40625,-2.03125,2.25,0,0,0,0,0,0,63.68006,63.6801
351.7639,-0.2480469,0.3212891,0.953125,-72.40625,-2.03125,2.25,0,0,0,0,0,0,63.13611,63.13611
